Using device: cuda
Loading Teacher weights from /home/jay_agarwal_2022/lorentz-gatr/runs/topt/GATr_7327/models/model_run0_it169999.pt...
✓ Loaded L-GATr. Missing: 0 | Unexpected: 12

--- Starting Engineered Knowledge Distillation ---
Epoch 9/100 | Batch 1600/2366 | Soft KD Loss: 8.1233 | Hard Loss: 1.0835 | Total Loss: 4.6034 | LR: 0.000200
Epoch 9/100 | Batch 1800/2366 | Soft KD Loss: 8.2294 | Hard Loss: 1.1299 | Total Loss: 4.6797 | LR: 0.000200
Epoch 9/100 | Batch 2000/2366 | Soft KD Loss: 8.3302 | Hard Loss: 1.0805 | Total Loss: 4.7053 | LR: 0.000200
Epoch 9/100 | Batch 2200/2366 | Soft KD Loss: 8.4560 | Hard Loss: 1.2234 | Total Loss: 4.8397 | LR: 0.000200
====> Epoch 9 Average KD Loss: 4.6264 | LR: 0.000200
Epoch 10/100 | Batch 0/2366 | Soft KD Loss: 8.1571 | Hard Loss: 1.1201 | Total Loss: 4.6386 | LR: 0.000200
Epoch 10/100 | Batch 200/2366 | Soft KD Loss: 8.0513 | Hard Loss: 0.9162 | Total Loss: 4.4838 | LR: 0.000200
Epoch 10/100 | Batch 400/2366 | Soft KD Loss: 7.8787 | Hard Loss: 1.0200 | Total Loss: 4.4493 | LR: 0.000200
Epoch 10/100 | Batch 600/2366 | Soft KD Loss: 7.9837 | Hard Loss: 1.0614 | Total Loss: 4.5226 | LR: 0.000200
Epoch 10/100 | Batch 800/2366 | Soft KD Loss: 8.2687 | Hard Loss: 1.1579 | Total Loss: 4.7133 | LR: 0.000200
Epoch 10/100 | Batch 1000/2366 | Soft KD Loss: 8.1456 | Hard Loss: 1.0896 | Total Loss: 4.6176 | LR: 0.000200
Epoch 10/100 | Batch 1200/2366 | Soft KD Loss: 8.0235 | Hard Loss: 0.9015 | Total Loss: 4.4625 | LR: 0.000200
Epoch 10/100 | Batch 1400/2366 | Soft KD Loss: 8.1744 | Hard Loss: 1.1434 | Total Loss: 4.6589 | LR: 0.000200
Epoch 10/100 | Batch 1600/2366 | Soft KD Loss: 8.1920 | Hard Loss: 0.9462 | Total Loss: 4.5691 | LR: 0.000200
Epoch 10/100 | Batch 1800/2366 | Soft KD Loss: 8.1507 | Hard Loss: 1.0948 | Total Loss: 4.6227 | LR: 0.000200
Epoch 10/100 | Batch 2000/2366 | Soft KD Loss: 8.1055 | Hard Loss: 1.0991 | Total Loss: 4.6023 | LR: 0.000200
Epoch 10/100 | Batch 2200/2366 | Soft KD Loss: 7.8491 | Hard Loss: 1.0807 | Total Loss: 4.4649 | LR: 0.000200
====> Epoch 10 Average KD Loss: 4.6092 | LR: 0.000200
Epoch 11/100 | Batch 0/2366 | Soft KD Loss: 8.0126 | Hard Loss: 1.1278 | Total Loss: 4.5702 | LR: 0.000200
Epoch 11/100 | Batch 200/2366 | Soft KD Loss: 8.0211 | Hard Loss: 1.0514 | Total Loss: 4.5363 | LR: 0.000200
Epoch 11/100 | Batch 400/2366 | Soft KD Loss: 8.0484 | Hard Loss: 1.2033 | Total Loss: 4.6258 | LR: 0.000200
Epoch 11/100 | Batch 600/2366 | Soft KD Loss: 8.0410 | Hard Loss: 1.1855 | Total Loss: 4.6132 | LR: 0.000200
Epoch 11/100 | Batch 800/2366 | Soft KD Loss: 7.9713 | Hard Loss: 1.0131 | Total Loss: 4.4922 | LR: 0.000200
Epoch 11/100 | Batch 1000/2366 | Soft KD Loss: 8.3051 | Hard Loss: 1.1783 | Total Loss: 4.7417 | LR: 0.000200
Epoch 11/100 | Batch 1200/2366 | Soft KD Loss: 7.9869 | Hard Loss: 0.9954 | Total Loss: 4.4911 | LR: 0.000200
Epoch 11/100 | Batch 1400/2366 | Soft KD Loss: 8.0396 | Hard Loss: 1.1920 | Total Loss: 4.6158 | LR: 0.000200
Epoch 11/100 | Batch 1600/2366 | Soft KD Loss: 8.0014 | Hard Loss: 1.1517 | Total Loss: 4.5766 | LR: 0.000200
Epoch 11/100 | Batch 1800/2366 | Soft KD Loss: 8.2392 | Hard Loss: 1.0194 | Total Loss: 4.6293 | LR: 0.000200
Epoch 11/100 | Batch 2000/2366 | Soft KD Loss: 8.1124 | Hard Loss: 1.1269 | Total Loss: 4.6197 | LR: 0.000200
Epoch 11/100 | Batch 2200/2366 | Soft KD Loss: 8.2087 | Hard Loss: 1.1248 | Total Loss: 4.6668 | LR: 0.000200
====> Epoch 11 Average KD Loss: 4.5936 | LR: 0.000200
Epoch 12/100 | Batch 0/2366 | Soft KD Loss: 8.0996 | Hard Loss: 1.0422 | Total Loss: 4.5709 | LR: 0.000200
Epoch 12/100 | Batch 200/2366 | Soft KD Loss: 7.8078 | Hard Loss: 0.9425 | Total Loss: 4.3752 | LR: 0.000200
Epoch 12/100 | Batch 400/2366 | Soft KD Loss: 8.0920 | Hard Loss: 1.1836 | Total Loss: 4.6378 | LR: 0.000200
Epoch 12/100 | Batch 600/2366 | Soft KD Loss: 8.2392 | Hard Loss: 1.1113 | Total Loss: 4.6752 | LR: 0.000200
Epoch 12/100 | Batch 800/2366 | Soft KD Loss: 8.1228 | Hard Loss: 1.1658 | Total Loss: 4.6443 | LR: 0.000200
Epoch 12/100 | Batch 1000/2366 | Soft KD Loss: 8.0454 | Hard Loss: 1.0606 | Total Loss: 4.5530 | LR: 0.000200
Epoch 12/100 | Batch 1200/2366 | Soft KD Loss: 8.2023 | Hard Loss: 1.1455 | Total Loss: 4.6739 | LR: 0.000200
Epoch 12/100 | Batch 1400/2366 | Soft KD Loss: 8.2364 | Hard Loss: 1.1981 | Total Loss: 4.7173 | LR: 0.000200
Epoch 12/100 | Batch 1600/2366 | Soft KD Loss: 7.8639 | Hard Loss: 1.0405 | Total Loss: 4.4522 | LR: 0.000200
Epoch 12/100 | Batch 1800/2366 | Soft KD Loss: 7.8538 | Hard Loss: 0.9490 | Total Loss: 4.4014 | LR: 0.000200
Epoch 12/100 | Batch 2000/2366 | Soft KD Loss: 8.1251 | Hard Loss: 1.0907 | Total Loss: 4.6079 | LR: 0.000200
Epoch 12/100 | Batch 2200/2366 | Soft KD Loss: 8.1279 | Hard Loss: 1.0260 | Total Loss: 4.5769 | LR: 0.000200
====> Epoch 12 Average KD Loss: 4.5794 | LR: 0.000200
Epoch 13/100 | Batch 0/2366 | Soft KD Loss: 8.0518 | Hard Loss: 1.0545 | Total Loss: 4.5532 | LR: 0.000200
Epoch 13/100 | Batch 200/2366 | Soft KD Loss: 8.1345 | Hard Loss: 1.0502 | Total Loss: 4.5924 | LR: 0.000200
Epoch 13/100 | Batch 400/2366 | Soft KD Loss: 7.9550 | Hard Loss: 1.1466 | Total Loss: 4.5508 | LR: 0.000200
Epoch 13/100 | Batch 600/2366 | Soft KD Loss: 7.8301 | Hard Loss: 1.0382 | Total Loss: 4.4342 | LR: 0.000200
Epoch 13/100 | Batch 800/2366 | Soft KD Loss: 8.2800 | Hard Loss: 1.0399 | Total Loss: 4.6600 | LR: 0.000200
Epoch 13/100 | Batch 1000/2366 | Soft KD Loss: 7.9717 | Hard Loss: 1.2049 | Total Loss: 4.5883 | LR: 0.000200
Epoch 13/100 | Batch 1200/2366 | Soft KD Loss: 8.1862 | Hard Loss: 1.0961 | Total Loss: 4.6412 | LR: 0.000200
Epoch 13/100 | Batch 1400/2366 | Soft KD Loss: 7.9205 | Hard Loss: 1.1408 | Total Loss: 4.5306 | LR: 0.000200
Epoch 13/100 | Batch 1600/2366 | Soft KD Loss: 8.0852 | Hard Loss: 1.1159 | Total Loss: 4.6006 | LR: 0.000200
Epoch 13/100 | Batch 1800/2366 | Soft KD Loss: 8.1752 | Hard Loss: 0.9662 | Total Loss: 4.5707 | LR: 0.000200
Epoch 13/100 | Batch 2000/2366 | Soft KD Loss: 8.0348 | Hard Loss: 0.9839 | Total Loss: 4.5093 | LR: 0.000200
Epoch 13/100 | Batch 2200/2366 | Soft KD Loss: 8.0354 | Hard Loss: 1.1285 | Total Loss: 4.5819 | LR: 0.000200
====> Epoch 13 Average KD Loss: 4.5677 | LR: 0.000200
Epoch 14/100 | Batch 0/2366 | Soft KD Loss: 8.0744 | Hard Loss: 1.0151 | Total Loss: 4.5447 | LR: 0.000200
Epoch 14/100 | Batch 200/2366 | Soft KD Loss: 7.9850 | Hard Loss: 1.0602 | Total Loss: 4.5226 | LR: 0.000200
