nohup: ignoring input
Using device: cuda
Loading Teacher weights from /home/jay_agarwal_2022/lorentz-gatr/runs/topt/GATr_7327/models/model_run0_it169999.pt...
✓ Loaded L-GATr. Missing: 0 | Unexpected: 12
Parallelizing across 4 GPUs!

--- Starting Engineered Knowledge Distillation ---
/home/jay_agarwal_2022/.local/lib/python3.10/site-packages/torch/nn/modules/linear.py:134: UserWarning: Attempting to run cuBLAS, but there was no current CUDA context! Attempting to set the primary context... (Triggered internally at /pytorch/aten/src/ATen/cuda/CublasHandlePool.cpp:330.)
  return F.linear(input, self.weight, self.bias)
Epoch 3/100 | Batch 7200/18922 | KD Loss: 5.3038 | Base Loss: 0.9020
Epoch 3/100 | Batch 7400/18922 | KD Loss: 5.3154 | Base Loss: 0.8865
Epoch 3/100 | Batch 7600/18922 | KD Loss: 4.9951 | Base Loss: 0.6498
Epoch 3/100 | Batch 7800/18922 | KD Loss: 4.9677 | Base Loss: 0.6358
Epoch 3/100 | Batch 8000/18922 | KD Loss: 5.1228 | Base Loss: 0.7413
Epoch 3/100 | Batch 8200/18922 | KD Loss: 5.0556 | Base Loss: 0.7425
Epoch 3/100 | Batch 8400/18922 | KD Loss: 4.9905 | Base Loss: 0.6776
Epoch 3/100 | Batch 8600/18922 | KD Loss: 4.9698 | Base Loss: 0.7373
Epoch 3/100 | Batch 8800/18922 | KD Loss: 5.0805 | Base Loss: 0.6938
Epoch 3/100 | Batch 9000/18922 | KD Loss: 4.9070 | Base Loss: 0.6831
Epoch 3/100 | Batch 9200/18922 | KD Loss: 5.0434 | Base Loss: 0.7715
Epoch 3/100 | Batch 9400/18922 | KD Loss: 5.5396 | Base Loss: 0.9142
Epoch 3/100 | Batch 9600/18922 | KD Loss: 5.2967 | Base Loss: 0.7655
Epoch 3/100 | Batch 9800/18922 | KD Loss: 5.3367 | Base Loss: 0.7867
Epoch 3/100 | Batch 10000/18922 | KD Loss: 4.9321 | Base Loss: 0.7153
Epoch 3/100 | Batch 10200/18922 | KD Loss: 4.9680 | Base Loss: 0.7838
Epoch 3/100 | Batch 10400/18922 | KD Loss: 4.8980 | Base Loss: 0.7736
Epoch 3/100 | Batch 10600/18922 | KD Loss: 5.0559 | Base Loss: 0.6597
Epoch 3/100 | Batch 10800/18922 | KD Loss: 5.3825 | Base Loss: 0.8242
Epoch 3/100 | Batch 11000/18922 | KD Loss: 4.9832 | Base Loss: 0.6875
Epoch 3/100 | Batch 11200/18922 | KD Loss: 4.9754 | Base Loss: 0.7305
Epoch 3/100 | Batch 11400/18922 | KD Loss: 5.6010 | Base Loss: 0.8596
Epoch 3/100 | Batch 11600/18922 | KD Loss: 5.0747 | Base Loss: 0.6199
Epoch 3/100 | Batch 11800/18922 | KD Loss: 5.2611 | Base Loss: 0.7831
Epoch 3/100 | Batch 12000/18922 | KD Loss: 4.9635 | Base Loss: 0.7007
Epoch 3/100 | Batch 12200/18922 | KD Loss: 5.0239 | Base Loss: 0.8128
Epoch 3/100 | Batch 12400/18922 | KD Loss: 4.9077 | Base Loss: 0.6885
Epoch 3/100 | Batch 12600/18922 | KD Loss: 5.4354 | Base Loss: 0.7231
